"","yearmonth","quarter","year","city","female1","female2","female3","female4","female5","female6","female7","female8","totalfemale","male1","male2","male3","male4","male5","male6","male7","male8","totalmale","totalcitypop"
"201","2017-03",1,2017,"Give",55,72,289,166,336,773,477,248,2416,76,65,297,218,331,731,384,152,2254,4670
"202","2017-03",1,2017,"Givskud",8,11,31,28,45,94,49,19,285,13,14,39,23,58,110,52,15,324,609
"203","2017-03",1,2017,"Gravens/Ågård",16,18,94,47,81,235,97,43,631,13,20,133,63,89,239,104,21,682,1313
"204","2017-03",1,2017,"Grejs",15,22,96,43,78,185,80,17,536,19,23,114,48,73,174,65,17,533,1069
"205","2017-03",1,2017,"Gårslev",14,21,71,40,77,185,93,24,525,18,22,92,33,80,184,103,18,550,1075
"206","2017-03",1,2017,"Jelling",42,59,282,165,259,582,276,122,1787,50,59,303,185,213,582,224,76,1692,3479
"207","2017-03",1,2017,"Jerlev",12,10,56,25,47,123,59,9,341,16,17,46,28,54,121,58,7,347,688
"208","2017-03",1,2017,"Ny Højen",11,9,60,22,48,123,56,12,341,10,18,50,41,50,116,65,6,356,697
"209","2017-03",1,2017,"Nørup",5,14,54,33,58,123,54,23,364,11,18,51,33,70,111,70,7,371,735
"210","2017-03",1,2017,"Skibet",35,36,204,79,140,381,155,23,1053,30,33,226,81,123,361,141,25,1020,2073
"211","2017-03",1,2017,"Skærup",9,11,35,19,40,93,46,3,256,10,7,31,16,39,93,50,1,247,503
"212","2017-03",1,2017,"Smidstrup",10,13,64,26,73,125,37,37,385,17,8,81,26,76,146,42,14,410,795
"213","2017-03",1,2017,"Thyregod",23,26,102,54,109,214,92,42,662,23,27,103,59,131,237,87,30,697,1359
"214","2017-03",1,2017,"Vandel",10,14,60,37,63,134,53,16,387,16,13,56,31,73,139,60,13,401,788
"215","2017-03",1,2017,"Vonge",13,8,42,26,54,99,39,15,296,12,7,29,29,66,114,42,7,306,602
"216","2017-03",1,2017,"Ødsted",23,28,114,50,128,242,110,26,721,28,39,119,62,112,254,99,20,733,1454
"217","2017-06",2,2017,"Vejle",959,896,3468,3068,5333,9127,4238,1633,28722,993,944,3623,3102,5677,8847,3658,960,27804,56526
"218","2017-06",2,2017,"Andkær",6,4,21,7,31,62,13,3,147,6,5,28,10,25,65,20,3,162,309
"219","2017-06",2,2017,"Bredal",13,15,61,17,55,109,33,8,311,5,14,68,32,45,128,26,2,320,631
"220","2017-06",2,2017,"Bredsten",28,17,152,57,109,284,119,64,830,10,28,159,75,92,283,122,35,804,1634
"221","2017-06",2,2017,"Brejning",40,45,201,118,214,547,227,44,1436,56,55,239,124,213,536,246,41,1510,2946
"222","2017-06",2,2017,"Børkop",112,111,461,188,490,871,412,129,2774,113,159,525,194,426,846,337,94,2694,5468
"223","2017-06",2,2017,"Egtved",39,28,142,69,163,365,230,148,1184,32,41,158,100,168,393,208,80,1180,2364
"224","2017-06",2,2017,"Gadbjerg",19,15,66,27,53,124,49,25,378,20,14,51,31,77,132,64,22,411,789
"225","2017-06",2,2017,"Give",62,68,286,174,322,788,476,244,2420,75,67,291,223,337,730,393,151,2267,4687
"226","2017-06",2,2017,"Givskud",8,12,32,27,48,94,48,19,288,14,14,40,21,59,111,52,15,326,614
"227","2017-06",2,2017,"Gravens/Ågård",16,19,97,48,77,238,97,43,635,18,17,133,62,84,242,102,22,680,1315
"228","2017-06",2,2017,"Grejs",15,24,95,43,82,181,80,17,537,20,22,116,51,73,174,64,18,538,1075
"229","2017-06",2,2017,"Gårslev",15,18,73,36,79,178,96,24,519,16,22,91,36,81,182,101,19,548,1067
